Date,Close
2023-05-28,40.4
2023-05-29,39.5
2023-02-12,31.5
2023-02-09,31.8
2023-02-07,32.4
2023-02-06,32.7
2023-02-05,33
2023-02-02,33.3
2023-02-01,33.6
2023-01-31,33.9
2023-01-30,34.2
2023-01-29,34.5
2023-01-26,34.8
2023-01-24,35.4
2023-01-23,35.4
2023-01-22,35.7
2023-01-19,34.7
2023-01-18,32.8
2023-01-17,32.2
2023-01-16,31.3
2023-01-15,31.5
2023-01-12,30.1
2023-01-11,30
2023-01-10,29.8
2023-01-09,30
2023-01-05,30.2
2023-01-04,30
2023-01-03,30.3
2023-01-02,30.6
2023-01-01,30.9
2022-12-29,31.2
2022-12-28,31.5
2022-12-27,31.8
2022-12-26,32.1
2022-12-22,32.4
2022-12-21,32.7
2022-12-20,32.7
2022-12-19,32.7
2022-12-18,32.7
2022-12-15,32.7
2022-12-14,32.7
2022-12-13,32.7
2022-12-12,32.7
2022-12-11,32.7
2022-12-08,32.7
2022-12-07,32.7
2022-12-06,32.7
2022-12-05,32.7
2022-12-04,32.7
2022-12-01,32.9
2022-11-30,32.7
2022-11-29,32.7
2022-11-28,32.7
2022-11-27,32.7
2022-11-24,32.7
2022-11-23,32.7
2022-11-22,32.7
2022-11-21,32.7
2022-11-20,33
2022-11-16,33.1
2022-11-15,32.7
2022-11-14,32.7
2022-11-13,32.7
2022-11-10,32.8
2022-11-09,33
2022-11-08,33.3
2022-11-07,32.8
2022-11-06,34.6
2022-11-02,36.3
2022-11-01,33.8
2022-10-31,32.7
2022-10-30,33.9
2022-10-27,32.7
2022-10-26,32.7
2022-10-25,32.7
2022-10-24,32.7
2022-10-23,32.7
2022-10-20,32.7
2022-10-19,32.7
2022-10-18,32.7
2022-10-16,33
2022-10-13,34.1
2022-10-12,32.7
2022-10-11,32.7
2022-10-10,32.7
2022-10-06,32.7
2022-10-04,32.7
2022-10-03,32.7
2022-10-02,32.7
2022-09-29,32.7
2022-09-28,32.7
2022-09-27,32.7
2022-09-26,33.2
2022-09-25,32.9
2022-09-22,33.1
2022-09-21,33.1
2022-09-20,33.3
2022-09-19,34
2022-09-18,35.2
2022-09-15,33.9
2022-09-14,33.3
2022-09-13,33.6
2022-09-12,33.7
2022-09-11,33.7
2022-09-08,34.4
2022-09-07,34.6
2022-09-06,35.2
2022-09-05,34.7
2022-09-04,35.4
2022-09-01,36.6
2022-08-31,36.7
2022-08-30,35.1
2022-08-29,35.6
2022-08-28,35.9
2022-08-24,34
2022-08-23,34.8
2022-08-22,34.5
2022-08-21,34.1
2022-08-17,34.9
2022-08-16,33.5
2022-08-14,33.3
2022-08-11,33.2
2022-08-10,34
2022-08-07,35.4
2022-08-04,36.3
2022-08-03,37.5
2022-08-02,37.5
2022-08-01,36.3
2022-07-31,35.9
2022-07-28,32.8
2022-07-27,33.4
2022-07-26,33.9
2022-07-25,31.6
2022-07-24,31.9
2022-07-21,32.5
2022-07-19,33.5
2022-07-18,34.1
2022-07-17,34.7
2022-07-14,35.4
2022-07-13,35.9
2022-07-12,36.1
2022-07-07,36.8
2022-07-06,36.8
2022-07-05,36.9
2022-07-04,37
2022-07-03,37.6
2022-06-30,37.5
2022-06-29,37.3
2022-06-28,37.8
2022-06-27,38.1
2022-06-26,37.2
2022-06-23,37.9
2022-06-22,37.9
2022-06-21,38.2
2022-06-20,38.6
2022-06-19,39.3
2022-06-16,40.1
2022-06-15,40.3
2022-06-14,41.1
2022-06-13,41.6
2022-06-12,42.4
2022-06-09,43.2
2022-06-08,44
2022-06-07,44.8
2022-06-06,42.5
2022-06-05,38.7
2022-06-02,37.3
2022-06-01,37.9
2022-05-31,37
2022-05-29,35.5
2022-05-26,34.6
2022-05-25,34.6
2022-05-24,35.3
2022-05-23,35.9
2022-05-22,33.5
2022-05-19,35.2
2022-05-18,35.8
2022-05-17,37.6
2022-05-12,41.3
2022-05-11,41.1
2022-05-10,43.1
2022-05-09,42.6
2022-05-08,41.9
2022-05-05,42.3
2022-04-28,43.9
2022-04-27,45.1
2022-04-26,46.9
2022-04-25,45.7
2022-04-24,43.8
2022-04-21,42.4
2022-04-19,41.3
2022-04-18,41.3
2022-04-17,42.1
2022-04-13,42.9
2022-04-12,43.5
2022-04-11,44.3
2022-04-10,44.7
2022-04-07,44.5
2022-04-06,44.5
2022-04-05,45.2
2022-04-04,46
2022-04-03,46.9
2022-03-31,47.8
2022-03-30,47.4
2022-03-29,45.2
2022-03-28,45.5
2022-03-27,44.3
2022-03-24,44.4
2022-03-23,44.7
2022-03-22,45.1
2022-03-21,45.1
2022-03-20,45.6
2022-03-16,46.4
2022-03-15,47.3
2022-03-14,48.2
2022-03-13,48.7
2022-03-10,48.2
2022-03-09,47.8
2022-03-08,44.5
2022-03-07,44.1
2022-03-06,46.4
2022-03-03,47.2
2022-03-02,46.7
2022-03-01,47.5
2022-02-27,46.3
2022-02-24,48.7
2022-02-23,50.5
2022-02-22,50.5
2022-02-20,50.3
2022-02-17,51.6
2022-02-16,51.6
2022-02-15,52
2022-02-14,53
2022-02-10,55.4
2022-02-09,56.2
2022-02-08,57.4
2022-02-07,55.2
2022-02-06,53.5
2022-02-03,52.3
2022-02-02,52.9
2022-02-01,52
2022-01-31,52.7
2022-01-30,52.6
2022-01-27,51.8
2022-01-26,52.2
2022-01-24,52.7
2022-01-23,53.2
2022-01-20,49.8
2022-01-19,49.3
2022-01-18,50.5
2022-01-17,51.5
2022-01-16,49
2022-01-13,48.8
2022-01-12,49.6
2022-01-11,50.8
2022-01-10,51
2022-01-09,51.4
2022-01-06,52
2022-01-05,53.6
2022-01-04,53.8
2022-01-03,53.4
2022-01-02,53.9
2021-12-30,54.3
2021-12-29,53.7
2021-12-28,54.6
2021-12-27,54.7
2021-12-26,53.9
2021-12-23,52.4
2021-12-22,49.2
2021-12-21,47.6
2021-12-20,48.1
2021-12-19,47.4
2021-12-15,46.7
2021-12-14,46.3
2021-12-13,46.2
2021-12-12,46.5
2021-12-09,47.5
2021-12-08,47.6
2021-12-07,47.6
2021-12-05,48.6
2021-12-02,46.7
2021-12-01,47.1
2021-11-30,45.9
2021-11-29,46.5
2021-11-28,46.3
2021-11-25,46.7
2021-11-24,48.2
2021-11-23,49
2021-11-21,47.8
2021-11-18,47.6
2021-11-17,48.7
2021-11-16,44.5
2021-11-15,45.3
2021-11-14,45.9
2021-11-11,46.7
2021-11-10,46.8
2021-11-09,45.9
2021-11-08,45.9
2021-11-07,47.2
2021-11-04,48.6
2021-11-02,48.1
2021-11-01,48.8
2021-10-31,48.5
2021-10-28,49.9
2021-10-27,49.2
2021-10-26,48.1
2021-10-25,46.3
2021-10-24,47.4
2021-10-21,49.1
2021-10-19,49.3
2021-10-18,49.3
2021-10-17,50
2021-10-14,50.9
2021-10-13,52.6
2021-10-12,49.1
2021-10-11,48.2
2021-10-10,48.7
2021-10-07,50.2
2021-10-06,48.6
2021-10-05,52.2
2021-10-04,52.3
2021-10-03,53.5
2021-09-30,55.2
2021-09-29,55
2021-09-28,55.4
2021-09-27,56.8
2021-09-26,56.6
2021-09-23,58.2
2021-09-22,58.6
2021-09-21,59.3
2021-09-20,58.8
2021-09-19,57.3
2021-09-16,57.7
2021-09-15,57.9
2021-09-13,60
2021-09-12,60.3
2021-09-09,60.8
2021-09-08,60.4
2021-09-07,60.6
2021-09-06,60.9
2021-09-05,61.6
2021-09-02,62.7
2021-09-01,64.2
2021-08-29,60.4
2021-08-26,60.1
2021-08-25,61.6
2021-08-24,60.5
2021-08-23,60.3
2021-08-22,59.7
2021-08-19,60.4
2021-08-18,59.5
2021-08-17,59.7
2021-08-16,54.9
2021-08-12,56.5
2021-08-11,57.8
2021-08-09,59.7
2021-08-05,60.6
2021-08-03,58.5
2021-08-02,61.1
2021-07-29,63.7
2021-07-28,66
2021-07-27,65.4
2021-07-26,65.6
2021-07-25,65.9
2021-07-19,63.9
2021-07-18,58.1
2021-07-15,57.9
2021-07-14,57.9
2021-07-13,56.3
2021-07-12,57.9
2021-07-08,60.4
2021-07-07,60.7
2021-07-06,60.9
2021-07-05,63.8
2021-06-30,67.5
2021-06-29,62.4
2021-06-28,62.7
2021-06-27,58.1
2021-06-24,63.3
2021-06-23,60.5
2021-06-22,66.3
2021-06-21,66.3
2021-06-20,68.4
2021-06-17,68.7
2021-06-16,71.7
2021-06-15,70
2021-06-14,67.4
2021-06-13,67.8
2021-06-10,70.2
2021-06-08,75.6
2021-06-07,72.2
2021-06-06,67.9
2021-06-03,73
2021-06-02,66.4
2021-06-01,56.1
2021-05-31,51
2021-05-30,50.6
2021-05-27,52.3
2021-03-04,33.7
2021-03-03,32.6
2021-03-02,32.1
2021-03-01,31.5
2021-02-28,31.9
2021-05-24,49
2021-05-23,46.6
2021-05-20,46.2
2021-05-19,48
2021-05-18,46.9
2021-05-17,45.2
2021-05-16,44.9
2021-05-12,44.1
2021-05-11,43.8
2021-05-09,42.6
2021-05-06,43.4
2021-05-05,45.3
2021-05-03,43.5
2021-05-02,42.9
2021-04-29,43.6
2021-04-28,42.5
2021-04-27,38.7
2021-04-26,38.1
2021-04-25,40.8
2021-04-22,41.1
2021-04-21,40.2
2021-04-20,39.1
2021-04-19,40.7
2021-04-18,38.5
2021-04-15,37.1
2021-04-13,38.1
2021-04-12,36.9
2021-04-11,34.9
2021-04-08,34.9
2021-04-07,33.6
2021-04-06,32.1
2021-04-05,29.2
2021-04-04,28.4
2021-04-01,31.2
2021-03-31,30.7
2021-03-29,32
2021-03-28,32.5
2021-03-25,31.4
2021-03-24,31.4
2021-03-23,32.9
2021-03-22,30.8
2021-03-21,30.6
2021-03-18,30.2
2021-03-16,31.4
2021-03-15,31.9
2021-03-14,31.1
2021-03-10,32.6
2021-03-09,32.7
2021-03-08,33.3
2021-03-07,33.6
2021-02-25,32.8
2021-02-24,30.9
2021-02-23,29.7
2021-02-22,30
2021-02-18,31
2021-02-17,31.6
2021-02-16,28.8
2021-02-15,29.8
2021-02-14,28.5
2023-05-30,38.3
2023-05-31,36.8
2023-02-23,29.3
2023-02-08,32.1
2023-01-25,35.1
2023-01-08,30.3
2022-11-17,33
2022-11-03,35.4
2022-10-17,32.7
2022-08-25,34.7
2022-08-08,35.1
2022-07-20,33.1
2022-05-30,35.5
2022-05-16,39.3
2022-04-20,41.7
2022-02-28,46.8
2022-02-13,54.1
2022-01-25,51.8
2021-12-06,47.6
2021-11-22,48.8
2021-11-03,48.3
2021-09-14,59
2021-08-31,62.1
2021-08-10,59.2
2021-06-09,76.2
2021-05-25,53.9
2021-05-04,47.6
2021-03-11,32
2023-06-13,34.2
2023-06-12,34.2
2023-06-15,30.8
2023-06-14,31.2
2023-03-20,29.3
2023-03-19,29.3
2023-06-11,34.8
2023-03-23,29.3
2023-03-22,29.3
2023-03-21,29.4
2023-06-18,31.2
2023-06-19,33.3
2023-07-06,31.2
2023-06-20,32.4
2023-06-21,32.7
2023-06-22,32.7
2023-07-04,31.1
2023-07-05,30.9
2023-07-09,31
2023-03-16,29.8
2023-03-15,29.5
2023-03-14,31
2023-03-13,31.2
2023-03-12,30
2023-03-09,30.9
2023-03-07,31.3
2023-03-06,31.5
2023-03-05,30.1
2023-03-02,29.3
2023-03-01,29.8
2023-02-28,29.5
2023-02-27,28.9
2023-02-26,29.1
2023-02-22,29.5
2023-02-20,29.7
2023-02-19,30
2023-02-16,30.3
2023-02-15,30.6
2023-02-14,30.9
2023-02-13,31.2
2023-07-02,32.4
2023-07-10,30.9
2023-07-11,32.7
2023-03-27,29.3
2023-07-03,31.6
2023-03-28,29.3
2023-03-30,29.5
2023-03-29,29.3
2023-04-02,29.5
2023-04-09,29.3
2023-04-06,29.3
2023-04-05,29.3
2023-04-04,29.3
2023-04-03,29.5
2023-06-26,33.2
2023-04-13,29.3
2023-04-12,29.3
2023-04-11,29.3
2023-04-10,29.3
2023-04-18,29.3
2023-04-17,29.3
2023-04-16,29.3
2023-04-27,29.3
2023-04-26,29.3
2023-04-25,29.4
2023-04-24,29.3
2023-04-30,29.3
2023-05-02,29.3
2023-05-03,29.3
2023-07-13,31.4
2023-05-07,29.3
2023-05-08,29.3
2023-05-09,29.3
2023-05-10,29.3
2023-05-11,29.3
2023-06-25,32.6
2023-05-14,30.5
2023-05-15,33.1
2023-05-16,32.7
2023-05-17,35.2
2023-05-18,38.7
2023-05-22,39.8
2023-05-23,42.5
2023-05-24,39.8
2023-05-25,40.4
2023-07-12,31.9
2023-07-16,34.5
2023-07-17,35.4
2023-07-18,36
2023-07-25,36.4
2023-07-24,38.5
2023-07-23,36.1
2023-07-20,37.8
2023-07-19,36.3
2023-07-26,36.4
2023-07-27,36.1
2023-07-30,35.2
2023-07-31,34.3
2023-08-01,35.4
2023-08-02,35.3
2023-08-03,35.3
2023-08-06,35.1
2023-08-07,32.9
2023-08-08,33.1
2023-08-09,32.1
2023-08-10,32.5
2023-08-13,32.6
2023-08-14,32.1
2023-08-24,0
2023-08-28,0
2023-08-29,32.4
2023-08-30,32.5
